CodigoNFe,DataEmissao,MunicipioEmitente,unidadecomercial,quantidadecomercial,valorunitariocomercial,DescricaoProduto,CLEAN
642143,2023-10-09,N/I,UN,3,1663.01,Mouse Óptico USB,N/I
173897,2023-12-01,N/I,UN,1,569.16,HD Externo 1TB,N/I
847824,2023-05-09,N/I,UN,1,223.3,Mouse Óptico USB,N/I
355466,2023-07-22,N/I,UN,5,996.38,HD Externo 1TB,N/I
683382,2023-05-23,N/I,UN,9,523.59,Memória RAM 8GB DDR4,N/I
103747,2023-10-12,N/I,UN,5,447.6,Placa de Vídeo GTX 1660,N/I
270250,2023-12-25,N/I,UN,7,1011.64,Teclado Mecânico RGB,N/I
493087,2023-04-09,N/I,UN,7,893.67,Placa de Vídeo GTX 1660,N/I
236443,2023-08-27,N/I,UN,8,1912.66,Cooler para CPU com RGB,N/I
665592,2023-02-25,N/I,UN,3,1991.05,Fonte 500W 80 Plus,N/I
751758,2023-04-22,N/I,UN,6,87.19,SSD NVMe 512GB,N/I
123521,2023-08-04,N/I,UN,7,224.78,Memória RAM 8GB DDR4,N/I
371490,2023-04-01,N/I,UN,3,140.83,Cooler para CPU com RGB,N/I
281030,2023-05-20,N/I,UN,10,1220.81,SSD NVMe 512GB,N/I
572968,2023-08-30,N/I,UN,9,660.53,Teclado Mecânico RGB,N/I
120295,2023-04-23,N/I,UN,6,593.21,Processador Intel i5 12ª Geração,N/I
815525,2023-01-05,N/I,UN,4,1794.96,Fonte 500W 80 Plus,N/I
483850,2023-04-27,N/I,UN,8,1223.47,SSD NVMe 512GB,N/I
555681,2023-12-31,N/I,UN,5,1479.66,Monitor LED 24'' Full HD,N/I
983255,2023-04-05,N/I,UN,3,1655.86,Placa de Vídeo GTX 1660,N/I
825593,2023-07-18,N/I,UN,3,1973.96,Cooler para CPU com RGB,N/I
918523,2023-10-12,N/I,UN,2,1386.67,Processador Intel i5 12ª Geração,N/I
681044,2023-08-18,N/I,UN,5,1441.64,Monitor LED 24'' Full HD,N/I
338968,2023-09-14,N/I,UN,10,1543.8,Teclado Mecânico RGB,N/I
